Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,Company_Stage,Classifier_Date,Focus_Areas
Aardvark Therapeutics,https://aardvarktherapeutics.com/,San Diego,,,Obesity & Genetic Metabolic Disorders,,BPG,Private,2025-11-15,Obesity & Genetic Metabolic Disorders
Aarvik Therapeutics,https://aarviktx.com/,Hayward,,,Antibody-Drug Conjugates,,BPG,Private,2025-11-15,Antibody-Drug Conjugates
Aayam Therapeutics,https://aayamtx.com/,San Jose,,,505(b)(2),,BPG,Private,2025-11-15,505(b)(2)
Ab Studio,https://www.antibodystudio.com/,Hayward,,,Antibody humanization and optimization service,,BPG,Unknown,2025-11-15,Antibody humanization and optimization service
AbTherx,https://www.abtherx.com/,Mountain View,,,Therapeutic Antibody Discovery,,BPG,Unknown,2025-11-15,Therapeutic Antibody Discovery
Abalone Bio,https://www.abalonebio.com/,Emeryville,,,Antibody Therapies,,BPG,Unknown,2025-11-15,Antibody Therapies
AbbVie,https://www.abbvie.com/,Irvine,,,"Small Molecules, Biologics",,BPG,Unknown,2025-11-15,"Small Molecules, Biologics"
Abbiotec,https://www.abbiotec.com/,Escondido,,,Research Antibodies & Peptides,,BPG,Unknown,2025-11-15,Research Antibodies & Peptides
AbboMax,https://www.abbomax.com/,San Jose,,,"Antibody, peptide, and assay product and service provider",,BPG,Unknown,2025-11-15,"Antibody, peptide, and assay product and service provider"
Abbott,https://www.abbott.com/,Alameda,,,Diabetes Care,,BPG,Unknown,2025-11-15,Diabetes Care
Abcam,https://www.abcam.com/en-us,Fremont,,,Antibodies,,BPG,Unknown,2025-11-15,Antibodies
Abcentra,https://abcentra.com/,Los Angeles,,,Monoclonal Antibodies,,BPG,Unknown,2025-11-15,Monoclonal Antibodies
Abcepta,https://www.abcepta.com/,San Diego,,,Biotechnology Antibodies,,BPG,Unknown,2025-11-15,Biotechnology Antibodies
Abeomics,https://www.abeomics.com/,San Diego,,,Contract Research,,BPG,Unknown,2025-11-15,Contract Research
Abilita Therapeutics,https://abilitatx.com/,San Diego,,,Method for creating GPCR-targeting antibodies,,BPG,Private,2025-11-15,Method for creating GPCR-targeting antibodies
Abiocode,http://www.abiocode.com/,Agoura Hills,,,Research Antibodies,,BPG,Unknown,2025-11-15,Research Antibodies
Abiosciences,https://www.abiosciences.com/,South SF,,,"Single cell sequencing, bioinformatics, AI-aided molecular design",,BPG,Unknown,2025-11-15,"Single cell sequencing, bioinformatics, AI-aided molecular design"
Ablexis,https://www.ablexis.com/,San Diego,,,"In vivo monoclonal antibody discovery platform, engineered mice",,BPG,Unknown,2025-11-15,"In vivo monoclonal antibody discovery platform, engineered mice"
Abram Scientific,https://www.abramscientific.com/,South SF,,,Hemostasis Analysis,,BPG,Unknown,2025-11-15,Hemostasis Analysis
Abterra Biosciences,https://abterrabio.com/,San Diego,,,Antibody Discovery & Services,,BPG,Unknown,2025-11-15,Antibody Discovery & Services
Acadia Pharmaceuticals,https://acadia.com/,San Diego,,,Small Molecules,,BPG,Private,2025-11-15,Small Molecules
Accelagen,https://accelagen.com/,San Diego,,,Contract molecular biology work,,BPG,Unknown,2025-11-15,Contract molecular biology work
Accelero Biostructures,https://www.accelerobio.com/,San Carlos,,,High-throughput protein X-ray crystallography-driven drug discovery and structural biology solutions,,BPG,Unknown,2025-11-15,High-throughput protein X-ray crystallography-driven drug discovery and structural biology solutions
AccendoWave,https://www.accendowave.com/,Poway,,,Pain Relief Headband,,BPG,Unknown,2025-11-15,Pain Relief Headband
AccuDava,http://accudava.com/,La Jolla,,,Diagnostic Kits,,BPG,Unknown,2025-11-15,Diagnostic Kits
AccuraGen,https://www.accuragen.com/,San Jose,,,Liquid Cancer Biopsy,,BPG,Unknown,2025-11-15,Liquid Cancer Biopsy
Accuray,https://www.accuray.com/,Sunnyvale,,,Directed Radiation Therapy,,BPG,Unknown,2025-11-15,Directed Radiation Therapy
Accurus Biosciences,http://accurusbio.com/web/,Richmond,,,Cellular & Antibody Services,,BPG,Unknown,2025-11-15,Cellular & Antibody Services
Accuryn Medical,https://accuryn.com/,Hayward,,,Patient monitoring systems and devices,,BPG,Unknown,2025-11-15,Patient monitoring systems and devices
AceLink Therapeutics,https://acelinktherapeutics.com/,Newark,,,Clinical stage drug discovery & development company focusing on rare genetic diseases,,BPG,Private,2025-11-15,Clinical stage drug discovery & development company focusing on rare genetic diseases
AcelaBio,https://acelabio.com/,San Diego,,,Histopathology and Precision Medicine Services for Global Clinical Trials,,BPG,Unknown,2025-11-15,Histopathology and Precision Medicine Services for Global Clinical Trials
Acelot,https://www.acelot.com/,South SF,,,Neurodegenerative Therapies,,BPG,Unknown,2025-11-15,Neurodegenerative Therapies
Acepix Biosciences,https://acepixbio.com/,Union City,,,Cell based and histo-pathology products,,BPG,Unknown,2025-11-15,Cell based and histo-pathology products
Acepodia,https://www.acepodia.com/,Alameda,,,Antibody-Cell Conjugation Therapy,,BPG,Unknown,2025-11-15,Antibody-Cell Conjugation Therapy
Achelois BioPharma,https://achelois.bio/,Redwood City,,,Molecular Velcro Antiviral Technology,,BPG,Private,2025-11-15,Molecular Velcro Antiviral Technology
Achira,https://achira.ai/,San Francisco,,,Atomistic foundation simulation models to power the future of drug discovery,,BPG,Unknown,2025-11-15,Atomistic foundation simulation models to power the future of drug discovery
Acme Bioscience,https://www.acmeca.com/index.html,Palo Alto,,,"Medicinal chemistry, custom synthesis",,BPG,Unknown,2025-11-15,"Medicinal chemistry, custom synthesis"
Acrigen Biosciences,https://www.acrigen.com/,Berkeley,,,Precision Gene Editing Systems to harness the power of CRISPR for use in human therapeutics,,BPG,Unknown,2025-11-15,Precision Gene Editing Systems to harness the power of CRISPR for use in human therapeutics
Acrobat Genomics,https://www.acrobatgenomics.com/,San Carlos,,,CRISPR Drug Discovery,,BPG,Unknown,2025-11-15,CRISPR Drug Discovery
Actio Biosciences,https://actiobiosciences.com/,San Diego,,,Genetics Platform,,BPG,Unknown,2025-11-15,Genetics Platform
Active Motif,https://www.activemotif.com/,Carlsbad,,,Epigenetics Research products,,BPG,Unknown,2025-11-15,Epigenetics Research products
Actym Therapeutics,https://www.actymthera.com/,Berkeley,,,Microbial-based immunotherapy platform,,BPG,Private,2025-11-15,Microbial-based immunotherapy platform
AcuraStem,https://acurastem.com/,Pasadena,,,Patient-based Therapeutics,,BPG,Unknown,2025-11-15,Patient-based Therapeutics
Acurex Biosciences,https://www.acurex.com/,San Carlos,,,Neurodegenerative Treatments,,BPG,Unknown,2025-11-15,Neurodegenerative Treatments
Acutus Medical,https://www.acutusmedical.com/us/,Carlsbad,,,Complex Cardiac Arrhythmias Diagnostics,,BPG,Unknown,2025-11-15,Complex Cardiac Arrhythmias Diagnostics
Adagio Medical,https://adagiomedical.com/,Laguna Hills,,,Continuous Lesion Ablation System,,BPG,Unknown,2025-11-15,Continuous Lesion Ablation System
Adanate,https://adanate.com/,Alameda,,,Antibody Therapies,,BPG,Unknown,2025-11-15,Antibody Therapies
Adaptyx Biosciences,https://adaptyx.bio/,Menlo Park,,,Biosensors,,BPG,Unknown,2025-11-15,Biosensors
Adari Cell Science,https://adaricell.com/,Oakland,,,Cell-based Assays,,BPG,Unknown,2025-11-15,Cell-based Assays
Adcentrx Therapeutics,https://www.adcentrx.com/,San Diego,,,Antibody drug conjugate,,BPG,Private,2025-11-15,Antibody drug conjugate
AddexBio,https://www.addexbio.com/,San Diego,,,"Reagents, Cells, Research Tools",,BPG,Unknown,2025-11-15,"Reagents, Cells, Research Tools"
Addition Therapeutics,https://additiontx.com/,South SF,,,RNA-mediated Insertion of Transgenes,,BPG,Private,2025-11-15,RNA-mediated Insertion of Transgenes
Adicet Bio,https://www.adicetbio.com/,Redwood City,,,Immunotherapies,,BPG,Unknown,2025-11-15,Immunotherapies
Adona Medical,https://adonamed.com/,Los Gatos,,,Device for Heart Failure,,BPG,Unknown,2025-11-15,Device for Heart Failure
AdvanBio,https://advan-bio.com/about-us/,Irvine,,,"Bioanalysis, Assay Development, Regulatory Consulting",,BPG,Unknown,2025-11-15,"Bioanalysis, Assay Development, Regulatory Consulting"
Advanced Bifurcation Systems,https://advancedbifurcation.com/,Livermore,,,Bifurcating Stent,,BPG,Unknown,2025-11-15,Bifurcating Stent
Advanced Biomatrix,https://advancedbiomatrix.com/,Carlsbad,,,"3D Tissue Culture, Assays and Cell Proliferation",,BPG,Unknown,2025-11-15,"3D Tissue Culture, Assays and Cell Proliferation"
Advanced Brain Monitoring,https://www.advancedbrainmonitoring.com/,Carlsbad,,,"EEG headsets, physiological monitoring systems, software",,BPG,Unknown,2025-11-15,"EEG headsets, physiological monitoring systems, software"
Advanced Cell Diagnostics,https://acdbio.com/,Newark,,,RNA Detection,,BPG,Unknown,2025-11-15,RNA Detection
Advanced Microbubbles,https://www.advancedmicrobubbles.com/,Newark,,,Ultrasound-triggered microbubbles,,BPG,Unknown,2025-11-15,Ultrasound-triggered microbubbles
Advanced NanoTherapies,https://advancednanotherapies.com/,Santa Clara,,,Nanoparticle technologies that enable and improve drug uptake and retention into the cell for medical devices,,BPG,Unknown,2025-11-15,Nanoparticle technologies that enable and improve drug uptake and retention into the cell for medical devices
Advanced Orthopaedic Solutions,https://www.aosortho.com/,Torrance,,,Orthopedic Trauma Products,,BPG,Unknown,2025-11-15,Orthopedic Trauma Products
Advanced Protein Production,https://www.advpropro.com/,Carlsbad,,,CDMO - Proteins,,BPG,Unknown,2025-11-15,CDMO - Proteins
Advanced Sterilization Products,https://www.asp.com/en-us,Irvine,,,Sterilization Products,,BPG,Unknown,2025-11-15,Sterilization Products
Advanced Targeting Systems,https://atsbio.com/,Carlsbad,,,Cell Reagents,,BPG,Unknown,2025-11-15,Cell Reagents
Advansta,https://advansta.com/,San Jose,,,Protein characterization products,,BPG,Unknown,2025-11-15,Protein characterization products
Advenchen Laboratories,http://advenchen.com/,Moorpark,,,Small Molecules,,BPG,Research,2025-11-15,Small Molecules
Adventris Pharmaceuticals,https://www.adventris.com/,San Francisco,,,Cancer Immunotherapy,,BPG,Private,2025-11-15,Cancer Immunotherapy
Adverum Biotechnologies,https://adverum.com/,Redwood City,,,"Adeno-Associated Virus Delivery, Gene Therapy",,BPG,Unknown,2025-11-15,"Adeno-Associated Virus Delivery, Gene Therapy"
Aelan Cell Technologies,http://aelanct.com/,San Francisco,,,Stem Cell Technology,,BPG,Unknown,2025-11-15,Stem Cell Technology
Aeovian Pharmaceuticals,https://www.aeovian.com/,Berkeley,,,Small Molecules,,BPG,Private,2025-11-15,Small Molecules
Aequita Bioworks,https://www.aequitabioworks.com,San Carlos,,,Antibodies for Muscle Loss Reduction,,BPG,Unknown,2025-11-15,Antibodies for Muscle Loss Reduction
Aerin Medical,https://aerinmedical.com/,Mountain View,,,Nasal Obstruction Relief Device,,BPG,Unknown,2025-11-15,Nasal Obstruction Relief Device
AeroRx Therapeutics,https://aerorxtx.com/,La Jolla,,,Nebulized 505(b)(2) product,,BPG,Private,2025-11-15,Nebulized 505(b)(2) product
Aether Biomachines,https://www.aetherbio.com/,Menlo Park,,,"Enzyme engineering, enabling customers to manufacture complex & novel products at fractional cost.",,BPG,Unknown,2025-11-15,"Enzyme engineering, enabling customers to manufacture complex & novel products at fractional cost."
Aethlon Medical,https://www.aethlonmedical.com/,San Diego,,,Dialysis Filtration,,BPG,Unknown,2025-11-15,Dialysis Filtration
AfaSci,https://www.afasci.com/,Redwood City,,,Small Molecules,,BPG,Unknown,2025-11-15,Small Molecules
Afecta Pharmaceuticals,https://afectapharm.com/,Irvine,,,Precision Medicines,,BPG,Private,2025-11-15,Precision Medicines
Affinity Biosensors,https://affinitybio.com/,Santa Barbara,,,Microbial Growth Measurement,,BPG,Unknown,2025-11-15,Microbial Growth Measurement
Agastiya Biotech,https://www.agastiyabiotech.com/,Carlsbad,,,Small Molecules,,BPG,Unknown,2025-11-15,Small Molecules
Agena Bioscience,https://www.agenabio.com/,San Diego,,,High throughput targeted & multiplexed genetic analysis,,BPG,Unknown,2025-11-15,High throughput targeted & multiplexed genetic analysis
Agendia,https://agendia.com/,Irvine,,,Breast Cancer Assay,,BPG,Unknown,2025-11-15,Breast Cancer Assay
AgileBio,https://agilebio.com/,San Diego,,,IT Life Science Solutions,,BPG,Unknown,2025-11-15,IT Life Science Solutions
Agilent,https://www.agilent.com/,Santa Clara,,,"High-Throughput Screening Equipment, Imaging instruments",,BPG,Unknown,2025-11-15,"High-Throughput Screening Equipment, Imaging instruments"
AiViva BioPharma,https://aiviva.com/,Irvine,,,JEL delivery technology,,BPG,Private,2025-11-15,JEL delivery technology
Aikium,https://www.aikium.com/,Berkeley,,,AI Drug Discovery,,BPG,Unknown,2025-11-15,AI Drug Discovery
Ainnocence,https://ainnocence.com/,Mountain View,,,Self-evolving AI platform for drug discovery,,BPG,Unknown,2025-11-15,Self-evolving AI platform for drug discovery
Ainos,https://www.ainos.com/,San Diego,,,Point-of-Care Diagnostics,,BPG,Unknown,2025-11-15,Point-of-Care Diagnostics
Aivo Biosciences,https://www.aivo.bio/,San Diego,,,Small Molecule CNS Therapeutics,,BPG,Unknown,2025-11-15,Small Molecule CNS Therapeutics
AivoCode,https://www.aivocode.com/,San Diego,,,Homing Peptides,,BPG,Unknown,2025-11-15,Homing Peptides
Aizen Therapeutics,https://www.aizentx.com/,San Diego,,,Mirror Peptides,,BPG,Private,2025-11-15,Mirror Peptides
Aizon,https://www.aizon.ai/,San Francisco,,,AI for Pharma Manufacturing,,BPG,Unknown,2025-11-15,AI for Pharma Manufacturing
Ajinomoto Bio-Pharma Services,https://www.ajibio-pharma.com/,San Diego,,,Contract Manufacturing,,BPG,Private,2025-11-15,Contract Manufacturing
Akero Therapeutics,https://akerotx.com/,South SF,,,NASH therapy,,BPG,Private,2025-11-15,NASH therapy
AkrivisBio,https://www.akrivisbio.com/,San Jose,,,"Assays, Chemicals",,BPG,Unknown,2025-11-15,"Assays, Chemicals"
Akura Medical,https://www.akuramedical.com/,Los Gatos,,,Thrombectomy Device,,BPG,Unknown,2025-11-15,Thrombectomy Device
Aladdin Scientific,https://www.aladdinsci.com/,Riverside,,,"Proteins, Chemicals, Antibodies",,BPG,Unknown,2025-11-15,"Proteins, Chemicals, Antibodies"
Alamar Biosciences,https://alamarbio.com/,Fremont,,,Proteomic Liquid Biopsy Platform,,BPG,Unknown,2025-11-15,Proteomic Liquid Biopsy Platform
Alcon,https://www.alcon.com/,Irvine,,,Eye-Care Products,,BPG,Unknown,2025-11-15,Eye-Care Products
Alector,https://alector.com/,South SF,,,Alzheimer's Antibody Treatments,,BPG,Unknown,2025-11-15,Alzheimer's Antibody Treatments
Alessa Therapeutics,https://alessatherapeutics.com/,San Carlos,,,Local delivery of anti-androgen therapy,,BPG,Private,2025-11-15,Local delivery of anti-androgen therapy
Alfa Scientific Designs,https://www.alfascientific.com/,Poway,,,Rapid POC Diagnostics,,BPG,Unknown,2025-11-15,Rapid POC Diagnostics
Algen Biotechnologies,https://www.algenbio.com/,San Francisco,,,Gene Network Drug Discovery Services,,BPG,Unknown,2025-11-15,Gene Network Drug Discovery Services
Alida Biosciences,https://www.alidabio.com/,San Diego,,,Epigenetic analysis tools,,BPG,Unknown,2025-11-15,Epigenetic analysis tools
Alife,https://www.alifehealth.com/,San Francisco,,,AI-powered IVF,,BPG,Unknown,2025-11-15,AI-powered IVF
Aligos Therapeutics,https://aligos.com/,South SF,,,Therapies for hepatologic diseases and viral infections,,BPG,Private,2025-11-15,Therapies for hepatologic diseases and viral infections
Alimentiv,https://alimentiv.com/,San Diego,,,Clinical Services,,BPG,Unknown,2025-11-15,Clinical Services
AlivaMab Biologics,https://alivamab.com/,San Diego,,,Antibody Discovery Services,,BPG,Unknown,2025-11-15,Antibody Discovery Services
AliveCor,https://kardia.com/,Mountain View,,,Heart Monitor with App,,BPG,Unknown,2025-11-15,Heart Monitor with App
AliveGen,https://www.alivegen.com/,Thousand Oaks,,,Ligand Trap,,BPG,Unknown,2025-11-15,Ligand Trap
Alixia,https://www.alixia.com/,San Francisco,,,Tumor Therapies,,BPG,Unknown,2025-11-15,Tumor Therapies
Alkahest,https://www.alkahest.com/,San Carlos,,,Aging therapy using blood components,,BPG,Unknown,2025-11-15,Aging therapy using blood components
AllCells,https://allcells.com/,Alameda,,,"Cytokines, Stem Cells, Media, etc.",,BPG,Unknown,2025-11-15,"Cytokines, Stem Cells, Media, etc."
Allay Therapeutics,https://www.allaytx.com/,San Jose,,,Multi-week Localized Pain Management,,BPG,Private,2025-11-15,Multi-week Localized Pain Management
Allele Biotechnology,https://allelebiotech.com/,San Diego,,,Molecular Biology Products & Services,,BPG,Unknown,2025-11-15,Molecular Biology Products & Services
Allelica,https://allelica.com/,San Francisco,,,Polygenic Panels,,BPG,Unknown,2025-11-15,Polygenic Panels
Allez Health,https://www.allezhealth.com/,Carlsbad,,,Biosensors,,BPG,Unknown,2025-11-15,Biosensors
Allogene Therapeutics,https://allogene.com/,South SF,,,CAR-T,,BPG,Public,2025-11-15,CAR-T
Allucent,https://www.allucent.com/,San Diego,,,Clinical Research Solutions partnering with small & mid-sized biotechs to deliver novel therapies to patients with unmet needs.,,BPG,Unknown,2025-11-15,Clinical Research Solutions partnering with small & mid-sized biotechs to deliver novel therapies to patients with unmet needs.
Allvivo Vascular,https://allvivo.com/,Lake Forest,,,Medical device coating,,BPG,Unknown,2025-11-15,Medical device coating
Alpha Medical Instruments,http://www.alphamedicalinstruments.com,Mission Viejo,,,Cardiac Balloon Catheter,,BPG,Unknown,2025-11-15,Cardiac Balloon Catheter
Alphalyse,https://alphalyse.com/,Palo Alto,,,Protein Characterization Services,,BPG,Unknown,2025-11-15,Protein Characterization Services
Alstem,https://www.alstembio.com/web/,Richmond,,,"IPS Generation, Cell Lines, Cytokines, Proteins, etc.",,BPG,Unknown,2025-11-15,"IPS Generation, Cell Lines, Cytokines, Proteins, etc."
Alta Biomed,https://www.altabiomed.com/,Carlsbad,,,Medical Device Coatings,,BPG,Unknown,2025-11-15,Medical Device Coatings
Altagenics,https://altagenics.com/,Los Angeles,,,GigaAssay-derived therapies,,BPG,Unknown,2025-11-15,GigaAssay-derived therapies
Altaviz,https://www.altaviz.com/,Irvine,,,"Injector Drug Delivery, Implant Delivery Systems",,BPG,Unknown,2025-11-15,"Injector Drug Delivery, Implant Delivery Systems"
Altay Therapeutics,https://www.altaytherapeutics.com/,San Carlos,,,Small molecules for liver disease and cancer,,BPG,Private,2025-11-15,Small molecules for liver disease and cancer
AlterG,https://alterg.com/,Fremont,,,Anti-gravity treadmill,,BPG,Unknown,2025-11-15,Anti-gravity treadmill
Alterome Therapeutics,https://www.alterome.com/,San Diego,,,Oncology Treatments,,BPG,Private,2025-11-15,Oncology Treatments
Alto Neuroscience,https://altoneuroscience.com/,Mountain View,,,AI-derived brain biomarkers for therapeutic matching,,BPG,Unknown,2025-11-15,AI-derived brain biomarkers for therapeutic matching
Altos Labs,https://www.altoslabs.com/,Redwood City,,,Cellular Rejuvenation,,BPG,Research,2025-11-15,Cellular Rejuvenation
AltruBio,https://www.altrubio.com/altrubio/en,San Francisco,,,Antibody Therapeutics,,BPG,Unknown,2025-11-15,Antibody Therapeutics
Altus Life Science,https://altuslifescience.com/,San Jose,,,Diagnostics & Genetic Tests,,BPG,Unknown,2025-11-15,Diagnostics & Genetic Tests
Aluda Pharmaceuticals,https://aludapharm.com/,Menlo Park,,,Small Molecules,,BPG,Private,2025-11-15,Small Molecules
Alume Biosciences,https://alumebiosciences.com/,San Diego,,,Nerve Illumination Technology,,BPG,Unknown,2025-11-15,Nerve Illumination Technology
Alumis,https://www.alumis.com/,South SF,,,Autoimmune Treatments,,BPG,Unknown,2025-11-15,Autoimmune Treatments
Aluna,https://alunacare.com/,San Francisco,,,Asthma Tracking Device,,BPG,Unknown,2025-11-15,Asthma Tracking Device
Alveo Technologies,https://www.alveotechnologies.com/,Alameda,,,Diagnostic Devices,,BPG,Unknown,2025-11-15,Diagnostic Devices
AmMax Bio,https://www.ammaxbio.com,Redwood City,,,Anti-CSF1 Monoclonal Antibody,,BPG,Unknown,2025-11-15,Anti-CSF1 Monoclonal Antibody
Amador Bioscience,https://www.amadorbioscience.com/,Pleasanton,,,"Consulting, Lab Service, Clinical Trial Management",,BPG,Unknown,2025-11-15,"Consulting, Lab Service, Clinical Trial Management"
Amaros,https://amaros.ai/,Menlo Park,,,Ophthalmology Data Platform,,BPG,Unknown,2025-11-15,Ophthalmology Data Platform
Amber Bio,https://www.amber.bio/,San Francisco,,,Gene Editing Platform,,BPG,Unknown,2025-11-15,Gene Editing Platform
Amber Ophthalmics,https://www.amberophthalmics.com/,San Diego,,,Novel therapeutics for rare anterior segment ophthalmic diseases,,BPG,Unknown,2025-11-15,Novel therapeutics for rare anterior segment ophthalmic diseases
Amberstone Biosciences,https://amberstonebio.com/,Irvine,,,Solid Tumor Therapies,,BPG,Unknown,2025-11-15,Solid Tumor Therapies
Ambrx,https://ambrx.com/,La Jolla,,,PEGylation,,BPG,Unknown,2025-11-15,PEGylation
Ambry Genetics,https://www.ambrygen.com/,Aliso Viejo,,,Genetic Testing,,BPG,Unknown,2025-11-15,Genetic Testing
Amgen,https://www.amgen.com/,South SF,,,"Small Molecules, Biologics",,BPG,Unknown,2025-11-15,"Small Molecules, Biologics"
Amphastar Pharmaceuticals,https://amphastar.com/,Rancho Cucamonga,,,Generic Small Molecules,,BPG,Private,2025-11-15,Generic Small Molecules
AmplifiDx,https://www.amplifidx.com/,Newark,,,Molecular Diagnostics POC,,BPG,Unknown,2025-11-15,Molecular Diagnostics POC
Amplifica,https://amplificabio.com/,San Diego,,,Hair Loss Therapies,,BPG,Unknown,2025-11-15,Hair Loss Therapies
Amplo Biotechnology,https://www.amplobiotechnology.com/,San Diego,,,Treatment for congenital myasthenic syndromes,,BPG,Unknown,2025-11-15,Treatment for congenital myasthenic syndromes
Amprion,https://www.ampriondx.com/,San Diego,,,Brain Health Diagnostics,,BPG,Unknown,2025-11-15,Brain Health Diagnostics
Amuza,https://www.amuzainc.com/,San Diego,,,Neuroscience Research Equipment,,BPG,Unknown,2025-11-15,Neuroscience Research Equipment
Amydis Diagnostics,https://amydis.com/,La Jolla,,,Alzheimer's diagnostic,,BPG,Unknown,2025-11-15,Alzheimer's diagnostic
Amygdala Neurosciences,https://amygns.com/,Los Altos,,,Addiction Therapies,,BPG,Unknown,2025-11-15,Addiction Therapies
AnaBios,https://anabios.com/,San Diego,,,Human Tissue Clinical Testing,,BPG,Unknown,2025-11-15,Human Tissue Clinical Testing
