Company Name,Address,City,Website,Company Stage,Focus Area
Acme Bioscience,,Palo Alto,https://acmeca.com,Tools/Services/CDMO,Medicinal chemistry services
Acrobat Genomics,,San Carlos,https://acrobatgenomics.com,Pre-clinical/Startup,CRISPR-based drug discovery
AcureX Therapeutics,,San Carlos,https://acurex.com,Pre-clinical/Startup,Neurodegenerative disease treatments
Adaptyx Biosciences,,Menlo Park,https://adaptyx.bio,Pre-clinical/Startup,Biosensor technology
Adari Cell Science,,Oakland,https://adaricell.com,Tools/Services/CDMO,Cell-based assays
Adicet Bio,,Redwood City,https://adicetbio.com,Clinical-Stage Biotech,Immunotherapies (CAR gamma-delta T cells)
Adona Medical,,Los Gatos,https://adonamed.com,Pre-clinical/Startup,Heart failure device
Advanced Bifurcation Systems,,Livermore,https://advancedbifurcation.com,Pre-clinical/Startup,Bifurcating stent device
Advanced Cell Diagnostics,,Newark,https://acdbio.com,Tools/Services/CDMO,RNA in situ detection
Advanced Microbubbles,,Newark,https://advancedmicrobubbles.com,Pre-clinical/Startup,Ultrasound-triggered microbubbles
Advanced NanoTherapies,,Santa Clara,https://advancednanotherapies.com,Pre-clinical/Startup,Nanoparticle drug delivery
Advanced Process Systems,,Orinda,https://advancedprosystems.com,Tools/Services/CDMO,Analytical instrument calibration
Advansta,,San Jose,https://advansta.com,Tools/Services/CDMO,Protein characterization products
Adventris Pharmaceuticals,,San Francisco,https://adventris.com,Pre-clinical/Startup,Cancer immunotherapy (vaccines)
Adverum Biotechnologies,,Redwood City,https://adverum.com,Clinical-Stage Biotech,AAV gene therapies
Aelan Cell Technologies,,San Francisco,https://aelanct.com,Pre-clinical/Startup,Stem cell technology
Aeovian Pharmaceuticals,,Berkeley,https://aeovian.com,Pre-clinical/Startup,Small-molecule therapeutics
Aequita Bioworks,,San Carlos,https://aequitabioworks.com,Pre-clinical/Startup,Muscle loss antibody therapies
Aerin Medical,,Mountain View,https://aerinmedical.com,Pre-clinical/Startup,Nasal obstruction device
Aether Biomachines,,Menlo Park,https://aetherbio.com,Pre-clinical/Startup,Enzyme engineering (automation)
AfaSci,,Redwood City,https://afasci.com,Pre-clinical/Startup,Small-molecule CNS drugs
Agilent Technologies (Bio Division),,Santa Clara,https://agilent.com,Commercial-Stage Biotech,Lab instruments & screening
Aikium,,Berkeley,https://aikium.com,Pre-clinical/Startup,AI-driven drug discovery
Aizon,,San Francisco,https://aizon.ai,Pre-clinical/Startup,AI for pharma manufacturing
Akero Therapeutics,,South San Francisco,https://akerotx.com,Clinical-Stage Biotech,NASH therapy
Akura Medical,,Los Gatos,https://akuramedical.com,Pre-clinical/Startup,Thrombectomy device (clot removal)
Alamar Biosciences,,Fremont,https://alamarbio.com,Pre-clinical/Startup,Proteomic liquid biopsy
Alessa Therapeutics,,San Carlos,https://alessatherapeutics.com,Pre-clinical/Startup,Targeted localized cancer therapy
Algen Biotechnologies,,San Francisco,https://algenbio.com,Pre-clinical/Startup,Gene network drug discovery
Alife,,San Francisco,https://alifehealth.com,Pre-clinical/Startup,AI-powered IVF solutions
Aligos Therapeutics,,South San Francisco,https://aligos.com,Clinical-Stage Biotech,Treatments for liver & viral diseases
AliveCor,,Mountain View,https://kardia.com,Commercial-Stage Biotech,Mobile heart monitoring (ECG)
Alixia,,San Francisco,https://alixia.com,Pre-clinical/Startup,Tumor immunotherapies
Alkahest,,San Carlos,https://alkahest.com,Clinical-Stage Biotech,Anti-aging therapies (blood components)
Allay Therapeutics,,Menlo Park,https://allaytx.com,Pre-clinical/Startup,Localized pain management therapy
Allelica,,San Francisco,https://allelica.com,Pre-clinical/Startup,Polygenic risk scoring
Alphalyse,,Palo Alto,https://alphalyse.com,Tools/Services/CDMO,Protein analysis services
Alstem,,Richmond,https://alstembio.com,Tools/Services/CDMO,iPSC cell lines & cytokines
AlterG,,Fremont,https://alterg.com,Commercial-Stage Biotech,Anti-gravity treadmill (rehab)
AltiBio,,Half Moon Bay,https://altibio.bio,Pre-clinical/Startup,Pharmaceutical R&D
Alto Neuroscience,,Mountain View,https://altoneuroscience.com,Pre-clinical/Startup,AI-driven neuro biomarkers
Altos Labs,,Redwood City,https://altoslabs.com,Pre-clinical/Startup,Cellular rejuvenation (aging)
AltruBio,,San Francisco,https://altrubio.com,Pre-clinical/Startup,Antibody therapeutics (immunology)
Altus Life Science,,San Jose,https://altuslifescience.com,Pre-clinical/Startup,Diagnostics & genetic testing
Aluda Pharmaceuticals,,Menlo Park,https://aludapharm.com,Pre-clinical/Startup,Small-molecule drug discovery
Aluna,,San Francisco,https://alunacare.com,Pre-clinical/Startup,Digital asthma monitoring
Alveo Technologies,,Alameda,https://alveotechnologies.com,Commercial-Stage Biotech,Diagnostic devices (infectious diseases)
Amador Bioscience,,Pleasanton,https://amadorbioscience.com,Tools/Services/CDMO,Consulting & CRO (clinical trials)
Amaros,,Menlo Park,https://amaros.ai,Pre-clinical/Startup,Ophthalmology data platform (AI)
Amgen (Bay Area),,South San Francisco,https://amgen.com,Large Pharma,Biologics & small-molecule drugs
AmplifiDx,,Newark,https://amplifidx.com,Pre-clinical/Startup,Molecular diagnostics (point-of-care)
Amprion,,San Francisco,https://ampriondx.com,Pre-clinical/Startup,Brain health diagnostics (prions)
Amygdala Neurosciences,,Los Altos,https://amygns.com,Pre-clinical/Startup,Addiction therapies (small-molecule)
AnaSpec,,Fremont,https://anaspec.com,Tools/Services/CDMO,Peptides & antibodies reagents
Ananya Health,,Oakland,https://ananya.health,Pre-clinical/Startup,Cryoablation therapy (cervical cancer)
Anchor Molecular,,Pleasanton,https://anchormolecular.com,Tools/Services/CDMO,Quality controls & reference materials
AnchorDx,,Fremont,https://anchordx.com,Pre-clinical/Startup,Next-gen sequencing (oncology)
Ancora Bio,,Palo Alto,https://ancorabiotech.com,Pre-clinical/Startup,Multi-specific antibodies
Ancora Heart,,Santa Clara,https://ancoraheart.com,Pre-clinical/Startup,Device for mitral valve repair
Andromeda Surgical,,South San Francisco,https://andromedasurgical.com,Pre-clinical/Startup,Surgical robotics
Angarus Therapeutics,,South San Francisco,https://angarustx.com,Pre-clinical/Startup,Oncology (immunosuppression-targeted)
Anixa Biosciences,,San Jose,https://anixa.com,Pre-clinical/Startup,Cancer diagnostics & CAR-T
Antares Therapeutics,,South San Francisco,https://antaresrx.com,Pre-clinical/Startup,Small-molecule drug technologies
Antheia,,Menlo Park,https://antheia.bio,Pre-clinical/Startup,Yeast fermentation-based API production
Antibodies Incorporated,,Davis,https://antibodiesinc.com,Tools/Services/CDMO,Custom antibodies & assay services
Antibody Solutions,,Santa Clara,https://antibody.com,Tools/Services/CDMO,Antibody discovery services
Antiva Biosciences,,Redwood City,https://antivabio.com,Pre-clinical/Startup,Antiviral therapeutics (HPV)
Anwita Biosciences,,San Carlos,https://anwitabio.com,Pre-clinical/Startup,Antibodies & fusion proteins
Apellis Pharmaceuticals,,San Francisco,https://apellis.com,Clinical-Stage Biotech,Cyclic peptide therapeutics
Apeximmune,,Burlingame,https://apeximmune.com,Pre-clinical/Startup,Immuno-oncology mAbs
Apollomics,,Foster City,https://apollomicsinc.com,Clinical-Stage Biotech,Cancer medicines (multi-target)
Apostle Inc.,,Pleasanton,https://apostlebio.com,Pre-clinical/Startup,Cancer diagnostics (liquid biopsy)
Applied Biomics,,Hayward,https://appliedbiomics.com,Tools/Services/CDMO,Proteomics services
Applied Cells,,Santa Clara,https://appliedcells.com,Tools/Services/CDMO,Cell separation technology
Applied StemCell,,Milpitas,https://appliedstemcell.com,Tools/Services/CDMO,Cell lines & gene editing tools
Applied Viromics,,Fremont,https://appliedviromics.com,Tools/Services/CDMO,Custom viral vectors
Apreo Health,,Menlo Park,https://apreohealth.com,Pre-clinical/Startup,Lung disease therapy
Aptah Bio,,San Carlos,https://aptah-bio.com,Pre-clinical/Startup,RNA integrity therapeutics
Aqtual,,Hayward,https://aqtual.com,Pre-clinical/Startup,Cell-free DNA diagnostics
Aqua Medical,,Pleasanton,https://aquaendoscopy.com,Pre-clinical/Startup,Endoscopic ablation therapy
Aquedeon Medical,,Sunnyvale,https://aquedeonmedical.com,Pre-clinical/Startup,Vascular graft system
Aragen Life Sciences,,Morgan Hill,https://aragen.com,Tools/Services/CDMO,Biologics CRO (cell line assays)
Aralez Bio,,Berkeley,https://aralezbio.com,Pre-clinical/Startup,Noncanonical amino acid tech
Arbor Vita,,Fremont,https://arborvita.com,Pre-clinical/Startup,Diagnostics (oncology)
Arcus Biosciences,,Hayward,https://arcusbio.com,Clinical-Stage Biotech,Cancer immunotherapies
Arda Therapeutics,,San Carlos,https://ardatx.com,Pre-clinical/Startup,Pathogenic cell depletion (ADC)
Aridis Pharmaceuticals,,Los Gatos,https://aridispharma.com,Pre-clinical/Startup,Monoclonal antibodies (infectious diseases)
Ark Diagnostics,,Fremont,https://ark-tdm.com,Tools/Services/CDMO,Clinical assays (therapeutic drug monitoring)
Artera,,Los Altos,https://artera.ai,Pre-clinical/Startup,AI diagnostics (radiology)
Artery Therapeutics,,San Ramon,https://arterytx.com,Pre-clinical/Startup,Peptide therapies (cardiology)
Artificial,,Palo Alto,https://artificial.com,Pre-clinical/Startup,AI lab automation platform
Ascendis Pharma,,Palo Alto,https://ascendispharma.com,Commercial-Stage Biotech,Prodrug therapies
Asegua Therapeutics,,Foster City,https://asegua.com,Acquired,Authorized generics (Gilead)
Asieris Pharmaceuticals,,Palo Alto,https://asieris.com,Pre-clinical/Startup,Small-molecule & combo products
Aspa Therapeutics,,Palo Alto,https://aspatx.com,Pre-clinical/Startup,Gene therapy (Canavan disease)
Assay Biotechnology,,San Jose,https://assaybiotechnology.com,Tools/Services/CDMO,Antibodies & ELISA kits
Assembly Biosciences,,South San Francisco,https://assemblybio.com,Pre-clinical/Startup,Antiviral small molecules (HBV)
AstraZeneca (Bay Area),,South San Francisco,https://astrazeneca.com,Large Pharma,Biologics & vaccines R&D
Astraea Therapeutics,,Mountain View,https://astraeatherapeutics.com,Pre-clinical/Startup,Small-molecule antivirals
atHeart Medical,,Santa Clara,https://atheartmedical.com,Pre-clinical/Startup,Atrial septal defect device
Athelas,,Mountain View,https://athelas.com,Pre-clinical/Startup,Point-of-care immune monitoring
Atia Vision,,Campbell,https://atiavision.com,Pre-clinical/Startup,Presbyopia-correcting intraocular lens
Atila Biosystems,,Sunnyvale,https://atilabiosystems.com,Pre-clinical/Startup,Nucleic acid amplification chemistry
Atomic AI,,South San Francisco,https://atomic.ai,Pre-clinical/Startup,AI-driven RNA drug discovery
Atonarp,,Pleasanton,https://atonarp.com,Pre-clinical/Startup,Mass spec molecular analysis
AtriCure,,Pleasanton,https://atricure.com,Commercial-Stage Biotech,Cardiovascular surgical devices
Atropos Therapeutics,,San Carlos,https://atroposthera.com,Pre-clinical/Startup,Senescence-targeting small molecules
Attovia Therapeutics,,San Carlos,https://attovia.com,Pre-clinical/Startup,Biparatopic nanobody platform
Attune Neurosciences,,San Francisco,https://attuneneuro.com,Pre-clinical/Startup,Non-invasive neurostimulation
Auctus Surgical,,Danville,https://auctussurgical.com,Pre-clinical/Startup,Scoliosis tethering system
Augmenta Bioworks,,Menlo Park,https://augbio.com,Tools/Services/CDMO,Antibody discovery services
Aulos Bioscience,,Larkspur,https://aulosbio.com,Pre-clinical/Startup,IL-2 monoclonal antibodies
Auransa,,Palo Alto,https://auransa.com,Pre-clinical/Startup,AI-driven drug discovery (oncology)
Aurora Microplates,,San Jose,https://auroramicroplates.com,Tools/Services/CDMO,Microplate lab plastics
AusperBio,,San Mateo,https://ausperbio.com,Pre-clinical/Startup,Antiviral therapeutics (ASO)
Austral Biologicals,,San Ramon,https://australbiologicals.com,Tools/Services/CDMO,Research products & services
Avails Medical,,Menlo Park,https://availsmedical.com,Pre-clinical/Startup,Rapid infection diagnostics
Avantec Vascular,,Sunnyvale,https://avantecvascular.com,Pre-clinical/Startup,Peripheral vascular devices
Avellino Labs,,Menlo Park,https://avellino.ai,Pre-clinical/Startup,Gene therapy & diagnostics (ophthalmology)
Avenue Biosciences,,Palo Alto,https://avenuebiosciences.com,Tools/Services/CDMO,Protein engineering CRO
Averto Medical,,Fremont,https://avertomed.com,Pre-clinical/Startup,Ostomy avoidance device
Avinger,,Redwood City,https://lumivascular.us,Commercial-Stage Biotech,Arterial surgical devices (PAD)
Avirmax,,Hayward,https://avirmax.com,Pre-clinical/Startup,rAAV gene therapy technology
Avisi Technologies,,Redwood City,https://avisitech.com,Pre-clinical/Startup,Glaucoma implant (nanotech)
Avive Solutions,,Brisbane,https://avive.life,Commercial-Stage Biotech,Automated external defibrillator
Avvio Medical,,San Francisco,https://avviomedical.com,Pre-clinical/Startup,Kidney stone treatment device
