Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Lexicon Pharmaceuticals,http://lexpharma.com,,,,,"Lexicon Pharmaceuticals, Inc. is a biopharmaceutical company developing treatments for human disease.",Wikipedia,1245
LiVeritas Biosciences,https://liveritas.bio/,South SF,,,Mass Spec Analysis,,BPG,1246
Libra Therapeutics,https://www.libratherapeutics.com/,San Diego,,,Small Molecules for Neurodegenerative Indications,,BPG,1247
LifeActive Bio,https://lifeactivebio.com/,San Francisco,,,Biomaterials for Drug Delivery,,BPG,1248
LifeScience PLUS,https://lifescienceplus.com/,Mountain View,,,Wound care,,BPG,1249
LifeSpan Biosciences,https://www.lsbio.com/,Newark,,,Immuno histochemistry Products and Services,,BPG,1250
LifeWave Biomedical,https://lifewavebiomed.com/,Los Altos,,,Heart Failure Monitoring Implant,,BPG,1251
Liferiver Bio-Tech Corp,https://liferiverbiotech.com/,La Jolla,,,"Diagnostics, Reagents",,BPG,1252
Liferna Biotech,https://liferna-biotech.com/,San Diego,,,Treatments for Autoimmune and Fibrotic Diseases,,BPG,1253
Ligand Pharmaceuticals,http://ligand.com,,,,,Ligand Pharmaceuticals is an American biopharmaceutical company that focuses on acquiring and developing royalty-generating assets.,Wikipedia,1254
Light Horse Therapeutics,https://lighthorsetx.com/,San Diego,,,Precision Gene Editing Applied to Small Molecule Drug Discovery,,BPG,1255
Lighthouse Pharmaceuticals,https://www.lighthousepharma.com/,San Francisco,,,Small molecule protease inhibitors,,BPG,1256
LimFlow,https://limflow.com/,San Jose,,,Critical Limb Ischemia Treatment,,BPG,1257
Limb Preservation Platform,https://www.lppresearch.com/,Fresno,,,Clinical Research,,BPG,1258
LinaTech,http://www.linatech.com/,Sunnyvale,,,Cancer treatment device,,BPG,1259
Lineage Cell Therapeutics,https://lineagecell.com/,Carlsbad,,,Regenerative Medicine,,BPG,1260
Link Cell Therapies,https://linkcelltx.com/,South SF,,,"Cell Therapies focused on CAR T, oncology",,BPG,1261
Linnaeus Bioscience,https://linnaeusbio.com/,San Diego,,,Bacterial Cytological Profiling,,BPG,1262
Lipidio Pharmaceuticals,https://lipidiopharma.com/,San Diego,,,Drugs to treat diseases associated with excess body fat,,BPG,1263
Liquid Biosciences,https://www.liquidbiosciences.com/,Aliso Viejo,,,Bio-analytics platform for multi-omics data integration and advanced biomarker discovery,,BPG,1264
List Biological Laboratories,https://listlabs.com/,Campbell,,,"Bacterial Toxins, Contract Manufacturing",,BPG,1265
Livionex Pharma,https://getlivfresh.com/,Los Gatos,,,"Unmet medical needs in Periodontitis, Cataracts and Herpes Simplex Virus",,BPG,1266
Lixte Biotechnology,https://lixte.com/,Pasadena,,,"Small Molecules, Diagnostics",,BPG,1267
Locus Biosciences,http://www.locus-bio.com/,,,,,"Locus Biosciences (Locus) is a clinical-stage pharmaceutical company based in Morrisville (Research Triangle Park), North Carolina, founded in 2015 as an NCSU spin‑out.",Wikipedia,1268
Lonza,https://www.lonza.com/,Vacaville,,,"Small Molecules, Biologics Contract Manufacturing",,BPG,1269
Lotus Clinical Research,https://lotuscr.com/,Pasadena,,,Clinical Research,,BPG,1270
Lucina Biotherapeutics,https://lucina.bio/,Santa Cruz,,,Lipid-based interventions,,BPG,1271
Lumenis,https://lumenis.com/,San Jose,,,Energy-based medical treatments,,BPG,1272
LumiQuick Diagnostics,https://lumiquick.co/,Santa Clara,,,Diagnostics,,BPG,1273
Luminary Genetics,https://www.luminarygenetics.com/,Santa Clara,,,Genetic Testing,,BPG,1274
Luminyst,https://www.luminyst.com/,Oakland,,,"product lifecycle management, quality and product development program consulting",,BPG,1275
Lumiphore,https://www.lumiphore.com/,Berkeley,,,Chelation for Radiotheranostics,,BPG,1276
Lumos Diagnostics,https://lumosdiagnostics.com/,Carlsbad,,,POC Diagnostics,,BPG,1277
Luna Diabetes,https://www.lunadiabetes.com/,San Diego,,,Insulin Pump,,BPG,1278
Lunai Bioworks,https://www.lunaibioworks.com/,Los Angeles,,,AI Drug Discovery,,BPG,1279
Lundbeck Seattle Biopharmaceuticals,https://www.lundbeck.com/us/about-us/lundbeck-in-the-us,,,,,"Lundbeck Seattle Biopharmaceuticals is a pharmaceutical development company based in Bothell, Washington.",Wikipedia,1280
LungLife AI,https://lunglifeai.com/,Thousand Oaks,,,Bioseparations Equipment,,BPG,1281
Lusis,https://www.lusisbio.com/,Hayward,,,Diagnostics,,BPG,1282
Lusis Biosciences,https://www.lusisbio.com/,Hayward,,,Benchtop Diagnostics,,BPG,1283
Lycia Therapeutics,https://lyciatx.com/,South SF,,,Lysosomal Targeting Chimeras Targeting Protein Degradation,,BPG,1284
Lyell Immunopharma,https://lyell.com/,South SF,,,Curative cell-based immunotherapies,,BPG,1285
Lygos,https://www.lygos.com/,Hayward,,,Biologically-derived specialty chemicals,,BPG,1286
Lykos Therapeutics,https://lykospbc.com/,San Jose,,,Psychedelics,,BPG,1287
Lynx Biosciences,https://www.lynx.bio/,San Diego,,,Phenotypic profiling and functional characterization of suspension cells,,BPG,1288
Lyterian Therapeutics,https://lyterian.com/,South SF,,,Therapeutics,,BPG,1289
MAST Biosurgery,https://mastbio.com/home-us/,San Diego,,,Bioresorbable polymer implants,,BPG,1290
MAX BioPharma,https://maxbiopharma.com/,Los Angeles,,,Small Molecules,,BPG,1291
MBrace Therapeutics,https://mbracetrx.com/,San Diego,,,"Phage-display Antibody Discovery, ADCs",,BPG,1292
MCLAB,https://mclab.com/,San Francisco,,,"Molecular biology reagents, enzymes, PCR/qPCR kits, cloning kits, protein purification solutions and genomic services",,BPG,1293
MDxHealth,https://mdxhealth.com/,Irvine,,,Molecular Diagnostics,,BPG,1294
MP Biomedicals,https://www.mpbio.com/,Irvine,,,Diagnostics & Life Sciences Products,,BPG,1295
MabSwitch,https://mabswitch.com/,Van Nuys,,,Regulatable Antibodies,,BPG,1296
Mablytics,https://mablytics.com/,San Diego,,,Novel Immunotherapies,,BPG,1297
Machaon Diagnostics,https://www.machaondiagnostics.com/,Berkeley,,,Clinical reference lab,,BPG,1298
Macro Biologics,https://www.macrobiologics.com/,Carlsbad,,,Antimicrobial Coating Technology,,BPG,1299
MagQu,https://www.magqu.com/,Milpitas,,,Alzheimer's Diagnostic,,BPG,1300
Magic Lifescience,https://magiclifescience.com/,Mountain View,,,POC Molecular Diagnostics,,BPG,1301
Magnetic Insight,https://magneticinsight.com/,Alameda,,,Magnetic Particle Imaging,,BPG,1302
Magnus Medical,https://www.magnusmed.com/,Burlingame,,,Device for Depression Treatment,,BPG,1303
Mahzi Therapeutics,https://mahzi.com/,San Mateo,,,Gene therapy for rare genetic neurodevelopmental disorders,,BPG,1304
Makani Science,https://makaniscience.net/,Irvine,,,Breathing Sensors,,BPG,1305
MakroCare,https://www.makrocare.com/,San Francisco,,,Drug Development Partner,,BPG,1306
Mammoth Biosciences,https://mammoth.bio/,Brisbane,,,"CRISPR, Gene-Editing Therapies",,BPG,1307
MannKind,https://mannkindcorp.com/,Westlake Village,,,"Inhalable Biologics, Gene Therapy",,BPG,1308
MantleBio,https://www.mantlebio.com/,San Francisco,,,Data Platform,,BPG,1309
Mapp Biopharmaceutical,https://mappbio.com/,San Diego,,,Infectious Disease Treatment,,BPG,1310
Mapp Biopharmaceutical,http://www.leafbio.com/,,,,,"Mapp Biopharmaceutical is an American pharmaceutical company founded in 2003 by Larry Zeitlin and Kevin Whaley. Mapp Biopharmaceutical is based in San Diego, California.",Wikipedia,1311
MarWell Bio,https://www.marwell.bio/,South SF,,,Generative AI Antibody Design,,BPG,1312
Marathon Pharmaceuticals,http://marathonpharma.com/,,,,,Marathon Pharmaceuticals LLC was a privately held biopharmaceuticals company focused on drugs for people with rare diseases.,Wikipedia,1313
Marea Therapeutics,https://www.mareatx.com/,South SF,,,Treatments for Cardiometabolic Diseases,,BPG,1314
Marin Biologic Laboratories,https://www.marinbio.com/,Novato,,,Contract Services,,BPG,1315
Masimo,https://www.masimo.com/,Irvine,,,Noninvasive patient monitoring,,BPG,1316
Materna Medical,https://www.maternamedical.com/,Mountain View,,,Device to prevent childbirth injuries,,BPG,1317
MatriSys Bioscience,https://matrisysbio.com/,La Jolla,,,Dermatology & Skin Care,,BPG,1318
Matrigen Life Technologies,https://matrigen.com/,Irvine,,,Soft (More Natural) Cell Culture Environments,,BPG,1319
Matrix Biomed,http://matrixbiomed.com/,Irvine,,,Gene therapy for various cancers,,BPG,1320
Matrubials,https://matrubials.com/home-1,Davis,,,Milk-derived Therapies,,BPG,1321
Maverix Biomics,https://www.maverixbio.com/,San Mateo,,,Next Generation Sequencing data analysis,,BPG,1322
Mawi DNA Technologies,https://www.mawidna.com/,Pleasanton,,,Non-invasive DNA sampling technology,,BPG,1323
Maxwell Biomedical,https://www.maxwellbiomedical.com/,San Diego,,,Solution designed to maintain sinus rhythm in patients with Atrial Fibrillation,,BPG,1324
Maxygen (2),https://www.maxygen.com/,Newark,,,Directed evolution services for protein engineering,,BPG,1325
Maxymune Therapeutics,https://maxymunetx.com/,Los Altos,,,Small Molecule Inhibitors,,BPG,1326
Maze Therapeutics,https://mazetx.com/,South SF,,,"Small Molecules, Gene Therapy, Antisense Oligonucleotides, Biologics",,BPG,1327
McGuff Companies,http://www.mcguffpharmaceuticals.com,,,,,"The McGuff Companies consist of three entities: a wholesale distributor of medical supplies, a pharmaceutical manufacturing facility which produces sterile injectables for national and internationa...",Wikipedia,1328
McGuff Pharmaceuticals,https://www.mcguffpharmaceuticals.com/,Santa Ana,,,Contract Manufacturing,,BPG,1329
McKesson Corporation,https://www.mckesson.com/,,,,,"McKesson Corporation is an American publicly traded company that distributes pharmaceuticals and provides health information technology, medical supplies, and health management tools.",Wikipedia,1330
McNeil Consumer Healthcare,http://www.pharmexec.com/hba-woman-year-jj-s-denice-torres,,,,,McNeil Consumer Healthcare is an American medicals products company belonging to Kenvue consumer health group. It primarily sells fast-moving consumer goods such as over-the-counter drugs.,Wikipedia,1331
MeCo Diagnostics,https://mecodiagnostics.com/,San Diego,,,Cancer Molecular Diagnostic,,BPG,1332
Meacor,https://meacor.com/,Irvine,,,Cardiovascular Minimally invasive transcatheter cryoadhesion system,,BPG,1333
Meadowhawk Biolabs,https://www.meadowhawkbiolabs.com/,Hayward,,,Small & Large Molecule CRO,,BPG,1334
MedSpark,https://medspark.ms/,San Luis Obispo,,,Medical Device Design & Development,,BPG,1335
Medable,https://www.medable.com/,Palo Alto,,,Clinical Trial Management Software,,BPG,1336
Medeloop,https://www.medeloop.ai/,San Francisco,,,AI Clinical Research Platform,,BPG,1337
Medeologix,https://medeologix.com/,San Jose,,,Contract development and manufacturing partner for minimally invasive devices,,BPG,1338
Medeor Therapeutics,https://www.medeortx.com/,South SF,,,Cellular Immunotherapy,,BPG,1339
MediCell Technologies,https://www.medicelltech.com/,Carlsbad,,,Stem Cell Treatments,,BPG,1340
MediPrint Ophthalmics,https://mediprintlens.com/,San Diego,,,Digital Printing on Contact Lenses for Drug Delivery,,BPG,1341
Medic Life Sciences,https://www.medic-life-sciences.com/,Mountain View,,,3D-tumor based CRISPR functional genomics platform,,BPG,1342
Medical Instrument Development Laboratories,https://www.midlabs.com/,San Leandro,,,Ophthalmic devices,,BPG,1343
