Company Name,Website,City,Address,Relevance to Profile,Company Stage,Notes,Hiring
Actym Therapeutics,https://www.actym.com,Berkeley,"717 Market St, San Francisco, CA 94103",2,Pre-clinical/Startup,Microbial-based Immunotherapy Platform,
Addition Therapeutics,https://www.additiontx.com,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704",2,Pre-clinical/Startup,RNA-mediated Transgene Insertion,
Amber Bio,https://www.amberbio.com,Berkeley,"953 Indiana Street, San Francisco, CA 94107",2,Pre-clinical/Startup,RNA Writing & Multi-kilobase Gene Editing,
Bayer,https://www.bayer.com,Berkeley,"800 Dwight Way, Berkeley, CA 94710",2,Large Pharma,Biologics & Cell & Gene Therapy & Manufacturing. Biologics & CGT; process/analytical development,
Caribou Biosciences,https://www.cariboubio.com,Berkeley,"2929 7th Street, Suite 105, Berkeley, CA 94710",1,Clinical-Stage Biotech,Next-Gen CRISPR Allogeneic Cell Therapies. Cas protein engineering & genome editing; strong structural biology links.,
Catena Biosciences,https://www.catenabio.com,Berkeley,"820 Heinz Ave, Berkeley, CA 94710",1,Clinical-Stage Biotech,Protein conjugation therapeutics (ADCs). Engineered enzyme for site-specific conjugation; structural enzymology fit.,
Joint Genome Institute,https://jgi.doe.gov,Berkeley,"1 Cyclotron Road, Berkeley, CA 94720",3,Academic/Gov't,Large-scale genomics; comp biology & sequencing,
Glyphic Biotechnologies,https://www.glyphicbio.com,Berkeley,"3100 San Pablo Avenue, Suite 201, Berkeley, CA 94702",1,Pre-clinical/Startup,Single-Molecule Protein Sequencing Platform,
Indee Labs,https://www.indeelabs.com,Berkeley,"626 Bancroft Way, Suite A, Berkeley, CA 94710",2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Innovative Genomics Institute,https://innovativegenomics.org,Berkeley,"2151 Berkeley Way, Berkeley, CA 94720",1,Academic/Gov't,CRISPR/Genomics Research Institute. CRISPR/genomics institute; comp bio + translational,
Kimia Therapeutics,https://www.kimiatx.com,Berkeley,"740 Heinz Avenue, Berkeley, CA 94710",2,Pre-clinical/Startup,AI/ML Drug Discovery Platform,
Advanced Light Source,https://als.lbl.gov,Berkeley,"1 Cyclotron Rd, Berkeley, CA 94720",1,Academic/Gov't,Synchrotron for Structural Biology. Synchrotron for structural biology/imaging,
Lygos,https://www.lygos.com,Berkeley,"1249 8th Street, Berkeley, CA 94710",1,Commercial-Stage Biotech,Industrial biotech; enzyme engineering. Metabolic pathway & enzyme optimization; fermentation.,
Nanotein,https://www.nanotein.com,Berkeley,"2950 San Pablo Ave, Berkeley, CA 94702",1,Pre-clinical/Startup,Protein-based Reagents for Cell Therapy,
Pivot Bio,https://www.pivotbio.com,Berkeley,"2910 7th St, Berkeley, CA 94710",1,Commercial-Stage Biotech,Engineered Microbes & Computational Protein Design. Engineered microbes; computational protein/genome design,
Prellis Biologics,https://www.prellisbio.com,Berkeley,"999 Anthony Street, Berkeley, CA 94710",2,Pre-clinical/Startup,3D Organoids for Antibody Discovery & AI,
Ray Therapeutics,https://www.raytx.com,Berkeley,"2607 7th Street, Suite B, Berkeley, CA 94710",1,Pre-clinical/Startup,Optogenetic Gene Therapy & Protein Engineering,
Regel Therapeutics,https://www.regel.bio,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704",1,Pre-clinical/Startup,Targeted EpiEditing & dCAS Fusion Proteins,
ResVita Bio,https://www.resvitabio.com,Berkeley,"2625 Durant Avenue, Berkeley, CA 94720",1,Pre-clinical/Startup,Engineered Skin Probiotics & Protein Delivery,
Sampling Human,https://www.samplinghuman.com,Berkeley,"2625 Durant Avenue, Berkeley, CA 94720",2,Pre-clinical/Startup,Synthetic Biology & Single-Cell Biomarkers,
Valitor,https://www.valitorbio.com,Berkeley,"820 Heinz Avenue, Berkeley, CA 94710",1,Pre-clinical/Startup,Protein Therapeutics & Multivalent Biopolymers,
Mammoth Biosciences,https://www.mammothbio.com,Brisbane,"1000 Marina Blvd, Suite 600, Brisbane, CA 94005",1,Clinical-Stage Biotech,CRISPR diagnostics and therapeutics. CRISPR-based diagnostics and in vivo gene editing,
Sangamo Therapeutics,https://www.sangamo.com,Brisbane,"7000 Marina Boulevard, Brisbane, CA 94005",1,Clinical-Stage Biotech,Zinc finger nucleases & gene therapy. Genomic medicines using zinc finger technology,
Freenome,https://www.freenome.com,Brisbane,"3300 Marina Blvd, Brisbane, CA 94005",2,Clinical-Stage Biotech,Multi-omics for early cancer detection. Liquid biopsy and machine learning for diagnostics,
Cerus Corporation,https://www.cerus.com,Concord,"1220 Concord Avenue, Concord, CA 94520",3,Commercial-Stage Biotech,Blood safety; pathogen inactivation. Biochemistry & immunology; product development & GMP.,
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,"5858 Horton Street, Suite 455, Emeryville, CA 94608",1,Clinical-Stage Biotech,AAV gene therapy; capsid engineering. Engineered viral capsids & delivery; protein design/structural virology relevant.,
Abalone Bio,https://www.abalonebio.com,Emeryville,"1250 45th St, Suite 520, Emeryville, CA 94608",2,Pre-clinical/Startup,Functional Antibody Discovery for GPCRs & AI,
Advanced Biofuels and Bioproducts Process Development Unit,https://abpdu.lbl.gov,Emeryville,"5885 Hollis St, Emeryville, CA 94608",2,Academic/Gov't,Scale-up/process; fermentation and downstream,
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,"1198 65th Street, Suite 250, Emeryville, CA 94608",1,Pre-clinical/Startup,Enzymatic DNA Synthesis & Enzyme Engineering. Enzyme engineering & computational chemistry; direct protein engineering relevance.,
Arcadia Science,https://www.arcadiascience.com,Emeryville,"6401 Hollis St, Suite 100, Emeryville, CA 94608",2,Non-Profit/Research,Discovery Biology & Open Science Platform. Discovery biology + toolkits; computational/structural adjacent,
Bolt Threads,https://boltthreads.com,Emeryville,"5858 Horton Street, Emeryville, CA 94608",1,Commercial-Stage Biotech,Biomaterials; recombinant silk proteins. Fermentation scale protein expression & engineering.,
Catalent,https://www.catalent.com,Emeryville,"5959 Horton St, Suite 400, Emeryville, CA 94608",2,Tools/Services/CDMO,Antibody-Drug Conjugates (ADCs) & Bioconjugation,
Dynavax Technologies,https://www.dynavax.com,Emeryville,"2100 Powell St, Suite 720, Emeryville, CA 94608",3,Commercial-Stage Biotech,Vaccines & TLR Agonists & Immunology. Adjuvant biology; protein production for vaccine antigens.,
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,"5858 Horton St, Suite 370, Emeryville, CA 94608",1,Clinical-Stage Biotech,T-Cell Therapies & Antibody Discovery & Structural Bio. T-cell therapies/antibody discovery; structural/biochem,
Ginkgo Bioworks,https://www.ginkgobioworks.com,Emeryville,"5858 Horton Street, Suite 400, Emeryville, CA 94608",1,Commercial-Stage Biotech,High-Throughput Organism Engineering. High-throughput protein expression & computational design.,
Gritstone bio,https://www.gritstonebio.com,Emeryville,"5959 Horton St, Suite 300, Emeryville, CA 94608",2,Clinical-Stage Biotech,Immuno-oncology & AI-based Antigen Discovery. Immuno-oncology/infectious disease; AI + antigen discovery,
Joint BioEnergy Institute,https://www.jbei.org,Emeryville,"5885 Hollis St, Emeryville, CA 94608",1,Academic/Gov't,Synthetic Biology & Biofuels & Process Scale-up. Synbio/enzymes; high-throughput strain/protein work,
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,"5980 Horton Street, Suite 550, Emeryville, CA 94608",2,Clinical-Stage Biotech,Autoimmune cell therapy (CAR-Treg). Gene & protein engineering; translational cell therapy.,
Novartis,https://www.novartis.com,Emeryville,"5959 Horton Street, Emeryville, CA 94608",2,Large Pharma,Infectious disease & global health R&D. Multidisciplinary drug discovery; potential structural biology roles.,
Nutcracker Therapeutics,https://www.nutcrackerx.com,Emeryville,"5858 Horton Street, Suite 540, Emeryville, CA 94608",2,Clinical-Stage Biotech,mRNA therapeutics platform. Protein/RNA engineering & automated GMP workflows.,
OmniAb,https://www.omniab.com,Emeryville,"5980 Horton Street, Suite 600, Emeryville, CA 94608",2,Tools/Services/CDMO,Transgenic Platforms for Antibody Discovery,
Profluent,https://www.profluent.bio,Emeryville,"1480 64th Street, Emeryville, CA 94608",1,Pre-clinical/Startup,AI-first Protein Design & Generative Models,
Prolific Machines,https://www.prolific-machines.com,Emeryville,"6400 Hollis Street, Suite 1, Emeryville, CA 94608",1,Pre-clinical/Startup,Optogenetic Control of Protein Production,
Santen,https://www.santen.com,Emeryville,"6401 Hollis Street, Suite 125, Emeryville, CA 94608",3,Large Pharma,Ophthalmology drug development; translational. Ophthalmology drug development; translational,
XOMA Corporation,https://www.xoma.com,Emeryville,"2200 Powell Street, Suite 310, Emeryville, CA 94608",3,Commercial-Stage Biotech,Royalty aggregator; legacy antibody discovery. Antibody/biologics royalty aggregator; legacy protein eng; minimal in-house R&D today,
Zymergen,https://www.zymergen.com,Emeryville,"5959 Horton Street, Suite 700, Emeryville, CA 94608",2,Pre-clinical/Startup,Synthetic biology & materials innovation. Note: Company filed for bankruptcy in 2021 but assets may have been acquired,
Metagenomi,https://www.metagenomi.co,Emeryville,"1545 Park Avenue, Emeryville, CA 94608",1,Pre-clinical/Startup,Next-generation gene editing systems. Novel CRISPR systems and base editors,
Ardelyx,https://www.ardelyx.com,Fremont,"34175 Ardenwood Blvd, Fremont, CA 94555",3,Commercial-Stage Biotech,Small-molecule therapeutics (GI/kidney). Structure-based drug design potential; pharma development alignment.,
Eikon Therapeutics,https://www.eikontx.com,Hayward,"3929 Point Eden Way, Hayward, CA 94545",1,Clinical-Stage Biotech,Live-cell single-molecule imaging drug discovery. Protein dynamics & quantitative imaging; structural insights valuable.,
Lonza,https://www.lonza.com,Hayward,"21075 Alexander Court, Hayward, CA 94545",3,Tools/Services/CDMO,CDMO; biologics & CGT manufacturing. CDMO; biologics/cell & gene therapy manufacturing,
Bio-Rad Laboratories,https://www.bio-rad.com,Hercules,"1000 Alfred Nobel Drive, Hercules, CA 94547",3,Commercial-Stage Biotech,Life-science instruments & diagnostics. Protein analytics/tools used by structural biologists; product development roles.,
IGM Biosciences,https://www.igmbio.com,Mountain View,"325 E Middlefield Rd, Mountain View, CA 94043",1,Clinical-Stage Biotech,Engineered IgM antibodies. Novel antibody engineering platform,
ATUM,https://www.atum.bio,Newark,"37950 Central Court, Newark, CA 94560",1,Tools/Services/CDMO,Gene & protein design/synthesis; enzyme engineering. Core protein engineering & expression & purification workflows.,
Ultragenyx Pharmaceutical,https://www.ultragenyx.com,Novato,"60 Leveroni Court, Novato, CA 94949",1,Commercial-Stage Biotech,Rare and ultra-rare genetic diseases. Gene therapy and enzyme replacement therapy,
Phyllom BioProducts,https://www.phyllom.com,Oakland,"484 Lake Park Ave, Suite 23, Oakland, CA 94610",2,Commercial-Stage Biotech,Microbial Biopesticides & Protein Engineering,
UCSF Benioff Children's Hospital Oakland,https://www.ucsfbenioffchildrens.org/locations/oakland,Oakland,"5700 Martin Luther King Jr Way, Oakland, CA 94609",3,Academic/Gov't,Translational Pediatric Research & Core Facilities. Translational biology; proteomics/genomics cores,
10x Genomics,https://www.10xgenomics.com,Pleasanton,"6230 Stoneridge Mall Road, Pleasanton, CA 94588",3,Commercial-Stage Biotech,Single-cell & spatial genomics tools. Advanced instruments & computational biology platform; strong data & protein analysis tie-ins.,
Unchained Labs,https://www.unchainedlabs.com,Pleasanton,"4747 Willow Road, Pleasanton, CA 94588",3,Tools/Services/CDMO,Biologics analytics instruments. Protein stability & characterization tools; applications science roles.,
BioMarin Pharmaceutical,https://www.biomarin.com,San Rafael,"770 Lindaro Street, San Rafael, CA 94901",1,Commercial-Stage Biotech,Rare genetic diseases therapeutics. Enzyme replacement therapies and gene therapies,
Calico Life Sciences,https://www.calicolabs.com,South San Francisco,"1170 Veterans Blvd, South San Francisco, CA 94080",2,Pre-clinical/Startup,Aging and age-related diseases. Fundamental biology of aging research,
