Company Name,Website,City,Primary Scientific Focus,Relevance to Profile,Company Stage,Notes,Hiring,Source
Joint Genome Institute,https://jgi.doe.gov,Berkeley,Large-scale genomics; comp biology & sequencing,Tier 2,Academic/Gov't,,,User CSV
Dynavax Technologies,https://www.dynavax.com,Emeryville,Vaccines & TLR Agonists & Immunology,Tier 3,Commercial-Stage Biotech,Adjuvant biology; protein production for vaccine antigens.,,Assistant Table & User CSV & User Paste
Eikon Therapeutics,https://www.eikontx.com,Hayward,Live-cell single-molecule imaging drug discovery,Tier 1,Clinical-Stage Biotech,Protein dynamics & quantitative imaging; structural insights valuable.,,Assistant Table & User CSV
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,T-Cell Therapies & Antibody Discovery & Structural Bio,Tier 1,Clinical-Stage Biotech,T-cell therapies/antibody discovery; structural/biochem,,Assistant Table & User CSV & User Paste
Exelixis,https://www.exelixis.com,Alameda,Oncology Drug Development (Small Molecule & Biologics),Tier 2,Commercial-Stage Biotech,Oncology drug developer; small-molecule discovery/dev,,Assistant Table & User CSV & User Paste
GeneFab,https://www.genefab.com,Alameda,CRDMO for Cell & Gene Therapies,Tier 3,Tools/Services/CDMO,,,User Paste
Ginkgo Bioworks,https://www.ginkgobioworks.com,Emeryville,High-Throughput Organism Engineering,Tier 1,Commercial-Stage Biotech,High-throughput protein expression & computational design.,,Assistant Table & User CSV & User Paste
Glyphic Biotechnologies,https://www.glyphicbio.com,Berkeley,Single-Molecule Protein Sequencing Platform,Tier 1,Pre-clinical/Startup,,,User Paste
Gritstone bio,https://www.gritstonebio.com,Emeryville,Immuno-oncology & AI-based Antigen Discovery,Tier 2,Clinical-Stage Biotech,Immuno-oncology/infectious disease; AI + antigen discovery,,Assistant Table & User CSV & User Paste
Indee Labs,https://www.indeelabs.com,Berkeley,Microfluidics for Intracellular Delivery,Tier 2,Pre-clinical/Startup,,,User Paste
Innovative Genomics Institute,https://innovativegenomics.org,Berkeley,CRISPR/Genomics Research Institute,Tier 1,Academic/Gov't,CRISPR/genomics institute; comp bio + translational,,User Paste & User CSV
Joint BioEnergy Institute,https://www.jbei.org,Emeryville,Synthetic Biology & Biofuels & Process Scale-up,Tier 1,Academic/Gov't,Synbio/enzymes; high-throughput strain/protein work,,User Paste & User CSV
Kimia Therapeutics,https://www.kimiatx.com,Berkeley,AI/ML Drug Discovery Platform,Tier 2,Pre-clinical/Startup,,,User Paste
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,Autoimmune cell therapy (CAR-Treg),Tier 1,Clinical-Stage Biotech,Gene & protein engineering; translational cell therapy.,,Assistant Table
Advanced Light Source,https://als.lbl.gov,Berkeley,Synchrotron for Structural Biology,Tier 1,Academic/Gov't,Synchrotron for structural biology/imaging,,User Paste & User CSV
Lonza,https://www.lonza.com,Hayward,CDMO; biologics & CGT manufacturing,Tier 3,Tools/Services/CDMO,CDMO; biologics/cell & gene therapy manufacturing,,Assistant Table & User CSV
Lygos,https://www.lygos.com,Berkeley,Industrial biotech; enzyme engineering,Tier 1,Commercial-Stage Biotech,Metabolic pathway & enzyme optimization; fermentation.,,Assistant Table
Nanotein,https://www.nanotein.com,Berkeley,Protein-based Reagents for Cell Therapy,Tier 1,Pre-clinical/Startup,,,User Paste
Novartis,https://www.novartis.com,Emeryville,Infectious disease & global health R&D,Tier 2,Large Pharma,Multidisciplinary drug discovery; potential structural biology roles.,,Assistant Table
Nutcracker Therapeutics,https://www.nutcrackerx.com,Emeryville,mRNA therapeutics platform,Tier 1,Clinical-Stage Biotech,Protein/RNA engineering & automated GMP workflows.,,Assistant Table
Ohmic Biosciences,https://www.ohmicbio.com,Alameda,Protein Engineering for Crop Disease Resistance,Tier 1,Pre-clinical/Startup,,,User Paste
OmniAb,https://www.omniab.com,Emeryville,Transgenic Platforms for Antibody Discovery,Tier 2,Tools/Services/CDMO,,,User Paste
Phyllom BioProducts,https://www.phyllom.com,Oakland,Microbial Biopesticides & Protein Engineering,Tier 2,Commercial-Stage Biotech,,,User Paste
Pivot Bio,https://www.pivotbio.com,Berkeley,Engineered Microbes & Computational Protein Design,Tier 1,Commercial-Stage Biotech,Engineered microbes; computational protein/genome design,,Assistant Table & User CSV & User Paste
Prellis Biologics,https://www.prellisbio.com,Berkeley,3D Organoids for Antibody Discovery & AI,Tier 1,Pre-clinical/Startup,,,User Paste
Profluent,https://www.profluent.bio,Emeryville,AI-first Protein Design & Generative Models,Tier 1,Pre-clinical/Startup,,,User Paste
Prolific Machines,https://www.prolific-machines.com,Emeryville,Optogenetic Control of Protein Production,Tier 1,Pre-clinical/Startup,,,User Paste
Ray Therapeutics,https://www.raytx.com,Berkeley,Optogenetic Gene Therapy & Protein Engineering,Tier 1,Pre-clinical/Startup,,,User Paste
Regel Therapeutics,https://www.regel.bio,Berkeley,Targeted EpiEditing & dCAS Fusion Proteins,Tier 1,Pre-clinical/Startup,,,User Paste
ResVita Bio,https://www.resvitabio.com,Berkeley,Engineered Skin Probiotics & Protein Delivery,Tier 1,Pre-clinical/Startup,,,User Paste
Sampling Human,https://www.samplinghuman.com,Berkeley,Synthetic Biology & Single-Cell Biomarkers,Tier 2,Pre-clinical/Startup,,,User Paste
Santa Ana Bio,https://www.santaanabio.com,Alameda,Precision Immunology & Antibody Engineering,Tier 2,Pre-clinical/Startup,,,User Paste
Santen,https://www.santen.com,Emeryville,Ophthalmology drug development; translational,Tier 3,Large Pharma,Ophthalmology drug development; translational,,Assistant Table & User CSV
Scribe Therapeutics,https://www.scribetx.com,Alameda,CRISPR Enzyme Engineering for In Vivo Therapies,Tier 1,Pre-clinical/Startup,Protein engineering of nucleases; strong structural fit.,,Assistant Table & User CSV & User Paste
Unchained Labs,https://www.unchainedlabs.com,Pleasanton,Biologics analytics instruments,Tier 3,Tools/Services/CDMO,Protein stability & characterization tools; applications science roles.,,Assistant Table & User CSV
UCSF Benioff Children's Hospital Oakland,https://www.ucsfbenioffchildrens.org/locations/oakland,Oakland,Translational Pediatric Research & Core Facilities,Tier 2,Academic/Gov't,Translational biology; proteomics/genomics cores,,User Paste & User CSV
USDA Western Regional Research Center,https://www.ars.usda.gov/pacific-west-area/albany-ca/wrrc/,Albany,Agricultural Research & Protein Chemistry & Enzymes,Tier 1,Academic/Gov't,Protein chemistry/enzymes; comp/analytical methods,,User Paste & User CSV
Valitor,https://www.valitorbio.com,Berkeley,Protein Therapeutics & Multivalent Biopolymers,Tier 1,Pre-clinical/Startup,,,User Paste
XOMA Corporation,https://www.xoma.com,Emeryville,Royalty aggregator; legacy antibody discovery,Tier 3,Commercial-Stage Biotech,Antibody/biologics royalty aggregator; legacy protein eng; minimal in-house R&D today,,Assistant Table & User CSV
Zymergen,https://www.zymergen.com,Emeryville,Synthetic biology & materials innovation,Tier 2,Pre-clinical/Startup,Note: Company filed for bankruptcy in 2021 but assets may have been acquired,,Additional Research
Metagenomi,https://www.metagenomi.co,Emeryville,Next-generation gene editing systems,Tier 1,Pre-clinical/Startup,Novel CRISPR systems and base editors,,Additional Research
Mammoth Biosciences,https://www.mammothbio.com,Brisbane,CRISPR diagnostics and therapeutics,Tier 1,Clinical-Stage Biotech,CRISPR-based diagnostics and in vivo gene editing,,Additional Research
Sangamo Therapeutics,https://www.sangamo.com,Brisbane,Zinc finger nucleases & gene therapy,Tier 1,Clinical-Stage Biotech,Genomic medicines using zinc finger technology,,Additional Research
Intellia Therapeutics,https://www.intelliatx.com,Brisbane,CRISPR/Cas9 gene editing therapeutics,Tier 1,Clinical-Stage Biotech,In vivo and ex vivo CRISPR therapies,,Additional Research
BioMarin Pharmaceutical,https://www.biomarin.com,San Rafael,Rare genetic diseases therapeutics,Tier 2,Commercial-Stage Biotech,Enzyme replacement therapies and gene therapies,,Additional Research
Ultragenyx Pharmaceutical,https://www.ultragenyx.com,Novato,Rare and ultra-rare genetic diseases,Tier 2,Commercial-Stage Biotech,Gene therapy and enzyme replacement therapy,,Additional Research
Freenome,https://www.freenome.com,Brisbane,Multi-omics for early cancer detection,Tier 2,Clinical-Stage Biotech,Liquid biopsy and machine learning for diagnostics,,Additional Research
IGM Biosciences,https://www.igmbio.com,Mountain View,Engineered IgM antibodies,Tier 1,Clinical-Stage Biotech,Novel antibody engineering platform,,Additional Research
Calico Life Sciences,https://www.calicolabs.com,South San Francisco,Aging and age-related diseases,Tier 2,Pre-clinical/Startup,Fundamental biology of aging research,,Additional Research
